Country,Data until,Data type,COVID-19 deaths,Excess deaths,Excess deaths std,t-statistic,Undercount ratio,Excess per 100k,Excess as % of annual baseline
Albania,"Mar 31, 2021",m,2235,9298,813,11.4,4.16,323.1,42.7
Andorra,"Dec 31, 2020",m,84,81,26,3.1,0.97,105.4,24.7
Argentina,"Dec 31, 2020",m,43163,41032,nan,nan,0.95,90.8,12.1
Armenia,"May 31, 2021",m,4445,8861,885,10.0,1.99,299.0,35.0
Aruba,"Dec 31, 2020",m,49,51,34,1.5,1.04,47.8,7.5
Australia,"Mar 28, 2021",w,909,-3675,1033,3.6,nan,-14.4,-2.5
Austria,"Jun 13, 2021",w,10460,9805,1395,7.0,0.94,108.9,11.7
Azerbaijan,"Feb 28, 2021",m,3218,18023,1389,13.0,5.60,177.8,31.9
Belarus,"Jun 30, 2020",m,392,5689,925,6.1,14.51,60.2,4.7
Belgium,"Jun 20, 2021",w,25139,16095,1862,8.6,0.64,138.9,14.5
Bolivia,"May 31, 2021",m,14471,35920,774,46.4,2.48,307.7,68.2
Bosnia,"Mar 31, 2021",m,6599,8920,987,9.0,1.35,271.9,24.6
Brazil,"May 31, 2021",m,461931,502864,14360,35.0,1.09,236.6,36.9
Bulgaria,"Jun 20, 2021",w,17989,31790,1814,17.5,1.77,457.5,29.0
Canada,"Mar 07, 2021",w,22192,15110,1750,8.6,0.68,40.0,5.1
Chile,"Jun 13, 2021",w,30579,30293,1135,26.7,0.99,158.5,26.9
Colombia,"May 09, 2021",w,76867,92020,1505,61.2,1.20,180.8,36.3
Costa Rica,"Dec 31, 2020",m,2171,938,374,2.5,0.43,18.4,3.7
Croatia,"May 30, 2021",w,8014,8824,1002,8.8,1.10,214.9,16.8
Cuba,"Dec 31, 2020",m,146,578,2086,0.3,nan,5.1,0.5
Cyprus,"May 09, 2021",w,334,338,162,2.1,1.01,28.0,5.4
Czechia,"May 23, 2021",w,30020,34652,1841,18.8,1.15,323.6,30.1
Denmark,"Jun 27, 2021",w,2531,-639,616,1.0,nan,-11.0,-1.1
Ecuador,"Jun 20, 2021",w,21284,62043,963,64.4,2.92,351.7,80.4
Egypt,"Nov 30, 2020",m,6650,87161,12702,6.9,13.11,85.2,15.5
El Salvador,"Aug 31, 2020",m,717,4729,888,5.3,6.60,72.9,11.2
Estonia,"Jun 27, 2021",w,1269,1830,303,6.0,1.44,137.9,11.5
Finland,"Jun 20, 2021",w,967,385,683,0.6,0.40,6.9,0.7
France,"Jun 20, 2021",w,109827,71921,8095,8.9,0.65,110.2,11.7
French Guiana,"Jun 20, 2021",w,141,-2,60,0.0,nan,-0.6,-0.2
French Polynesia,"Dec 31, 2020",m,114,124,91,1.4,1.09,44.1,8.0
Georgia,"Dec 31, 2020",m,2528,4804,1016,4.7,1.90,120.4,10.6
Germany,"Jun 20, 2021",w,90385,39497,17106,2.3,0.44,47.1,4.0
Gibraltar,"Jan 31, 2021",m,75,22,21,1.1,0.29,65.1,7.2
Greece,"May 02, 2021",w,10453,7546,1995,3.8,0.72,72.4,5.9
Greenland,"Dec 31, 2020",m,0,-16,34,0.5,nan,-27.5,-2.9
Guadeloupe,"Jun 20, 2021",w,266,213,116,1.8,0.80,53.3,6.0
Guatemala,"Dec 27, 2020",w,4763,10223,704,14.5,2.15,57.1,11.8
Hong Kong,"Mar 31, 2021",m,205,2078,1084,1.9,nan,27.7,4.2
Hungary,"Jun 06, 2021",w,29855,23450,2344,10.0,0.79,242.7,17.7
Iceland,"Mar 21, 2021",w,29,-15,74,0.2,nan,-4.5,-0.7
Iran,"Sep 21, 2020",q,24301,58092,7911,7.3,2.39,69.2,15.0
Ireland,"May 31, 2021",m,4979,1409,733,1.9,0.28,28.5,4.5
Israel,"May 30, 2021",w,6421,4844,547,8.9,0.75,56.0,10.4
Italy,"May 02, 2021",w,121033,132365,9453,14.0,1.09,218.9,20.2
Jamaica,"Nov 30, 2020",m,257,-315,306,1.0,nan,-10.6,-1.7
Japan,"Apr 30, 2021",m,10229,-15239,11666,1.3,nan,-12.0,-1.1
Kazakhstan,"Apr 30, 2021",m,6561,34711,3368,10.3,5.29,184.9,26.2
Kosovo,"Mar 31, 2021",m,1862,2783,314,8.9,1.49,150.8,29.7
Kyrgyzstan,"Apr 30, 2021",m,1612,7924,670,11.8,4.92,121.5,24.4
